,speed,course,rot,collection_type,PC1,Pc2
10203,6.1,60.0,-7.0,1,-0.328996924137393,-2.2427413509732834
10204,6.1,60.0,-12.0,1,-0.2406530275193134,-2.241842741564805
10205,6.1,57.0,-9.0,1,-0.0019752667778589,-2.154004697212742
10206,6.1,58.0,18.0,1,-0.7705682987959231,-2.26319924378175
10207,6.1,53.0,-5.0,1,-0.0723541672085868,-2.1866532762716746
10208,6.1,60.0,11.0,1,-0.6470349519624796,-2.2459763448438057
10209,6.1,52.0,21.0,1,-0.8231303114711674,-2.311632946725063
10215,6.6,53.0,-14.0,1,-0.2063328842444755,-2.148216929740438
10216,6.6,55.0,-11.0,1,-0.2594873306471911,-2.132791249619449
10217,6.6,55.0,-20.0,1,-0.1004683167346478,-2.131173752684189
10218,6.6,51.0,7.0,1,-0.2857672055440413,-2.0556314563758584
10219,6.6,54.0,16.0,1,-0.736470318168887,-2.14562616330827
10220,6.6,54.0,8.0,1,-0.5951200835799596,-2.144188388254705
10221,6.6,55.0,5.0,1,-0.5421877998250458,-2.13566679972658
10222,6.6,54.0,-7.0,1,-0.3300883937257208,-2.1414925600292696
10223,6.6,56.0,15.0,1,-0.4274877112126383,-2.017157117014236
10224,6.6,52.0,13.0,1,-0.3918539357016707,-2.0487273647829944
10225,6.6,54.0,-11.0,1,-0.2594132764312572,-2.140773672502487
15482,5.9,50.0,19.0,1,-0.7870303264384951,-2.386895680024642
15483,5.9,49.0,-25.0,1,-0.0095299819834607,-2.386970340113071
15484,5.9,53.0,-15.0,1,-0.1865139920833556,-2.356837867397877
15485,5.9,54.0,21.0,1,-0.8226641019494628,-2.355325432255884
15487,6.4,56.0,5.0,1,-0.5416475360874072,-2.187341708140438
15488,6.4,57.0,-12.0,1,-0.2413523418018705,-2.1763040132685743
15489,6.4,57.0,11.0,1,-0.6477342662450365,-2.180437616547574
15490,6.4,54.0,11.0,1,-0.3560501675327341,-2.092060406550423
15491,6.4,57.0,17.0,1,-0.7537469421867322,-2.181515947837749
15492,6.4,55.0,12.0,1,-0.6652549371367846,-2.196582184195345
15493,6.4,54.0,15.0,1,-0.4267252848271978,-2.092779294077206
15494,6.4,55.0,0.0,1,-0.4532295852533936,-2.1944255216149973
15495,6.4,56.0,5.0,1,-0.5416475360874072,-2.187341708140438
15496,6.4,56.0,12.0,1,-0.6653289913527185,-2.188599761312307
15497,6.4,55.0,-13.0,1,0.0679264820181138,-2.0797646585066905
15498,6.4,56.0,-14.0,1,-0.2059407289387048,-2.183926992388221
15499,6.4,55.0,-9.0,1,-0.2942105713408505,-2.1928080246797363
15500,6.4,56.0,20.0,1,-0.806679225941646,-2.190037536365873
15501,6.4,55.0,9.0,1,-0.6122485991659369,-2.196043018550258
15502,6.4,55.0,-8.0,1,-0.3118793506644663,-2.192987746561432
15503,6.4,55.0,14.0,1,-0.7005924957840164,-2.1969416279587364
15516,6.9,56.0,11.0,1,-0.6491960069130341,-2.039276711188373
15517,6.9,54.0,-12.0,1,-0.242665974038,-2.0511079536754475
15518,6.9,54.0,18.0,1,-0.481267417681977,-1.9441751314800544
15519,6.9,54.0,-12.0,1,-0.242665974038,-2.0511079536754475
20677,5.7,57.0,-7.0,1,-0.3275461255824461,-2.386003282216188
20678,5.7,51.0,5.0,1,-0.5391271521702335,-2.4360544820947614
20679,5.7,56.0,15.0,1,-0.7161852164860625,-2.3979395864965296
20680,5.7,56.0,9.0,1,-0.6101725405443669,-2.3968612552063555
20681,5.7,47.0,16.0,1,-0.733187507866273,-2.469961114325564
20682,5.7,57.0,-24.0,1,0.2642850589835249,-2.2706235315810983
20683,5.7,48.0,13.0,1,-0.6802552241113592,-2.46143952579744
20684,5.7,56.0,13.0,1,-0.6808476578388305,-2.3975801427331382
20685,5.7,54.0,-12.0,1,-0.2389800663165647,-2.4090519414568217
20686,5.7,56.0,19.0,1,-0.786860333780526,-2.3986584740233123
